600	783060.84+338527.08i
632	1865886.3-292362.9i
664	2046191.6-257465.03i
696	988292.66+23828.223i
728	1685950.9+1323627.2i
760	3404955+794.29604i
792	3625861.7-179758.65i
824	2217816.8-777676.82i
856	930612.56+144882.26i
888	2697744.9-18324.912i
920	4412979.9-250131.14i
952	4398622.1+27376.616i
984	3794702.2+685142.99i
1016	4515075.9+484694.29i
1048	5086316.8-156968.05i
1080	4322371.5-350616.72i
1112	2918725.8-61462.33i
1144	3450773.2+340803.04i
1176	5688623-176120.65i
1208	5845793.2-418313.8i
1240	3825106.7-121214.72i
1272	2628540.1+257229.08i
1304	2760096.6-256740.72i
1336	2052599-377155.77i
1368	1013942+63583.144i
1400	1307372+485026.4i
1432	2406576.2-28770.509i
1464	2709349.6-396200.55i
1496	1801350.3-168171.71i
1528	986953.5+153387.98i
1560	872178.21-74828.659i
1592	1147525.6-270536.32i
1624	759248.47+16454.087i
1656	876576.3+320232.93i
1688	868400.32+70560.099i
1720	1136713.5-208802.96i
1752	789166.99-123403.36i
1784	753738.52+54543.966i
1816	654977.39+37726.785i
1848	965813.69-117650.59i
1880	1004393-75485.792i
1912	1306191.9+175222.86i
1944	1440200.2+105654.27i
1976	1446172.5-25620.01i
2008	1284596.7-110118.06i
2040	1240333.1-20176.944i
2072	1152411.2+14785.733i
2104	1191462+63795.406i
2136	1571967.6-11798.946i
2168	1972284.1+2374.612i
2200	2052598.3+4061.6566i
2232	1904994.8-37959.819i
2264	1575225.1-191945.1i
2296	1118078.1-123191.33i
2328	826885.74-36231.232i
2360	597369.14-23644.145i
2392	452923.17-47804.982i
2424	596164.23+63282.231i
2456	936490.2+16718.813i
2488	780399.24-88369.627i
2520	528734.53-150976.89i
2552	450505.18-39021.419i
2584	568717.22-5316.0547i
2616	427597.2-5810.805i
2648	325560.63-31722.933i
2680	431351.32+33336.831i
2712	744946.45+48828.406i
2744	726256.06-40199.682i
2776	905582.31-108872.3i
2808	1211276.3-91076.735i
2840	1649508.8-5672.9797i
2872	1815409.3+34730.149i
2904	2185798+3346.6896i
2936	2702063.6+37217.844i
2968	3650103.3+231018.48i
3000	4614255.5+208095.5i
3032	5436023.6+99809.929i
3064	6006092.1+103726.79i
3096	6829989+255257.06i
3128	7674743.6+173540.71i
3160	8190694.7+66608.131i
3192	8335847.3+105828.47i
3224	8206404.2+61984.818i
3256	7820993.2-52397.816i
3288	7274101.1-105029.23i
3320	6479524.4-221521.81i
3352	5333141.8-264876.72i
3384	4263346.6-213701.23i
3416	3459123.7-197905.09i
3448	2719567.3-227603.9i
3480	2157810.9-167349.48i
3512	1774763.9-139559.7i
3544	1262786-125750.96i
3576	741717.58-82973.65i
3608	530540.35-42305.349i
